Variable Name,Survey Question/Explanation,Values,Coded in ECoachDatabaseFull_Recoded
User,uniqname,,
Gender,,"Male or M, Female or F (both values present for each gender)","0 = female, 1 = male"
Term,,"w12, s12, f12","w12 = 0, f12 = 1, s12 = 2"
Course,,"135, 140, 235, 240",
GPA,,,
Grade_Percent_Reg,Final grade as a percent from the registrar,,
BTE_Quad_Reg,Final BTE score using their final grade from the registrar (quadratic model) - non E2Coach students used to train the model,,
Grade_Want,What grade do you WANT to receive?,"A_plus, A, A_minus, B_plus, B, B_minus, C_plus, C, C_minus_or_below ***note: in f12 we removed A_plus as a choice",
Confidence,How confident are you that you can receive your desired grade?,"Not_confident_at_all, Not_confident, Somewhat_confident, Confident, Very_Confident",
Reason_Physics_req,Why are you taking this physics course?,"I am considering physics as my concentration (1 = selected, 0 = unselected)",
Reason_Concentration_req,,"This is the physics course required by my concentration (1 = selected, 0 = unselected)",
Reason_Grad_req,,"I need to take physics to prepare for my graduate/professional program (1 = selected, 0 = unselected)",
Reason_NS_Credit,,"For Natural Science credit (1 = selected, 0 = unselected)",
Reason_Interest,,"I'm taking this class because of my interest in physics (1 = selected, 0 = unselected)",
Hours_Exam_Study,How much extra time will you spend preparing for each exam?,"0=""Less than 1 hour"", 1=""1 hour""…11=""11 hours or more""",
Hours_Outside_Study,"How many hours per week (not including the 4 hours you spend in class) do you expect to spend studying outside of class? (e.g. doing homework, preparing for class)","0=""Less than 1 hour"", 1=""1 hour""…16=""16 hours or more""",
Hours_MP_Study,Physics professors often say that you doing your homework is the key to learning physics. How many hours per week will you spend doing your Mastering Physics assignments?,"0=""Less than 1 hour"", 1=""1 hour""…16=""16 hours or more""",
Behavior_Goal_Homework,How I think I can change to do my homework better:,"Schedule_Time=""I'll do my homework at a regular time"", No_Distraction - ""I'll turn off my phone and resist browing the net - yes! not browning the net! - while doing my homework, Earlier = ""I'll work on starting the homeowkr earlier in the week"", None = ""The way I do my homework doesn't need changing""",
Behavior_Goal_Lecture,How I think I can change to do do better in lecture:,"Location_Class = ""I'll sit closer to the front"", Questions = ""I'll ask a question when I'm lost"", Discussion = ""I'll really make an effort to talk through the problem at hand during a discussion section"", Attendance = ""I'll attend class more frequently than I normally do"", None = ""I'm good - I don't think my in-class behavior needs changing""",
Behavior_Goal_Exam,How I think I can change do to better on exams:,"No_Cram = ""I will start studying at least 7 days before the exam"", Office_Hours = ""I'll make a point to go to office hours leading up to the exam"", Sleep = ""I'll ACTUALLY get a good nights sleep before the exam"", Partner = ""I'll study with a partner"", None = The way I approach exams doesn't need changing",
Helproom,How often will you visit the Physics Help Room?,"Never, 3_Semester=""Less than 3 times a semester"", 2_week=""Once every two weeks"", 1_week=""Once per week"", More_1_week=""More than once per week"", IDK=""What's the physics help room?""",
Office_Hours,How often will you go to your professor's office hours?,"Never, 3_Semester=""Less than 3 times a semester"", 2_week=""Once every two weeks"", 1_week=""Once per week"", More_1_week=""More than once per week""",
CSP,Would you like to join the Comprehensive Studies Program (CSP)?,"Signed_Up = ""Yes, I'm already signed up!"", Interested = ""Yes, tell me how to join"", Not_Interested = ""No, I am not interested"", IDK = ""What is CSP?""",
